filename	*korp_id	*korp_alias	dialect_region	*dialect_region_name	dialect_group	*dialect_group_name	parish_title	parish
kess_mul1	mult	multia	SAV	Savolaismurteet	KesP	Pohjoinen Keski-Suomi	Multia	Multia
kess_piht1	piht	pihtipudas	SAV	Savolaismurteet	KesP	Pohjoinen Keski-Suomi	Pihtipudas	Pihtipudas
save_enok1	enok	enonkoski	SAV	Savolaismurteet	SavE	Etelä-Savo	Enonkoski	Enonkoski
save_mik1	mikk	mikkeli	SAV	Savolaismurteet	SavE	Etelä-Savo	Mikkeli	Mikkeli
save_ma_nh1	manh	mantyharju	SAV	Savolaismurteet	SavE	Etelä-Savo	Mäntyharju	Mäntyharju
save_punh1	punh	punkaharju	SAV	Savolaismurteet	SavE	Etelä-Savo	Punkaharju	Punkaharju
savp_hauv1	hauv	haukivuori	SAV	Savolaismurteet	SavP	Pohjois-Savo	Haukivuori	Haukivuori
savp_lapl1	lapl	lapinlahti	SAV	Savolaismurteet	SavP	Pohjois-Savo	Lapinlahti	Lapinlahti
savp_lep1	lepp	leppavirta	SAV	Savolaismurteet	SavP	Pohjois-Savo	Leppävirta	Leppävirta
savp_nil1	nils	nilsia	SAV	Savolaismurteet	SavP	Pohjois-Savo	Nilsiä	Nilsiä
savp_rans1	rans	rantasalmi	SAV	Savolaismurteet	SavP	Pohjois-Savo	Rantasalmi	Rantasalmi
savp_raul1	raul	rautalampi	SAV	Savolaismurteet	SavP	Pohjois-Savo	Rautalampi	Rautalampi
savp_rii1	riis	riistavesi	SAV	Savolaismurteet	SavP	Pohjois-Savo	Riistavesi 1	Riistavesi
savp_rii2	riis	riistavesi	SAV	Savolaismurteet	SavP	Pohjois-Savo	Riistavesi 2	Riistavesi
savp_tervo1	tervo	tervo	SAV	Savolaismurteet	SavP	Pohjois-Savo	Tervo	Tervo
savp_vie1	vier	vierema	SAV	Savolaismurteet	SavP	Pohjois-Savo	Vieremä	Vieremä
karp_ilo1	ilom	ilomantsi	SAV	Savolaismurteet	KarP	Pohjois-Karjala	Ilomantsi	Ilomantsi
karp_juuk1	juuk	juuka	SAV	Savolaismurteet	KarP	Pohjois-Karjala	Juuka 1	Juuka
karp_juuk2	juuk	juuka	SAV	Savolaismurteet	KarP	Pohjois-Karjala	Juuka 2	Juuka
karp_kiih1	kiih	kiihtelysvaara	SAV	Savolaismurteet	KarP	Pohjois-Karjala	Kiihtelysvaara	Kiihtelysvaara
karp_kite1	kite	kitee	SAV	Savolaismurteet	KarP	Pohjois-Karjala	Kitee	Kitee
karp_kont1	kont	kontiolahti	SAV	Savolaismurteet	KarP	Pohjois-Karjala	Kontiolahti	Kontiolahti
karp_lip1	lipe	liperi	SAV	Savolaismurteet	KarP	Pohjois-Karjala	Liperi	Liperi
kai_pos1	posi	posio	SAV	Savolaismurteet	Kai	Kainuu	Posio	Posio
kai_sot1	sotk	sotkamo	SAV	Savolaismurteet	Kai	Kainuu	Sotkamo	Sotkamo
kai_suos1	suos	suomussalmi	SAV	Savolaismurteet	Kai	Kainuu	Suomussalmi	Suomussalmi
kare_antr1	antr	antrea	KAA	Kaakkoismurteet	KarE	Etelä-Karjala	Antrea	Antrea
kare_koiv1	koiv	koivisto	KAA	Kaakkoismurteet	KarE	Etelä-Karjala	Koivisto	Koivisto
kare_lappe1	lappe	lappee	KAA	Kaakkoismurteet	KarE	Etelä-Karjala	Lappee	Lappee
kare_luu1	luum	luumaki	KAA	Kaakkoismurteet	KarE	Etelä-Karjala	Luumäki	Luumäki
